epoch,step,test_Accuracy,test_F1,test_Precision,test_Recall,test_mIoU,train_F1,train_OA,train_loss_epoch,train_loss_step,train_mIoU,val_F1,val_OA,val_loss,val_mIoU
0,49,,,,,,,,,1.1193428039550781,,,,,
0,99,,,,,,,,,1.1001856327056885,,,,,
0,149,,,,,,,,,1.490828275680542,,,,,
0,199,,,,,,,,,0.9986605644226074,,,,,
0,249,,,,,,,,,0.874875545501709,,,,,
0,299,,,,,,,,,1.0150312185287476,,,,,
0,349,,,,,,,,,0.8429234027862549,,,,,
0,399,,,,,,,,,0.9281967282295227,,,,,
0,449,,,,,,,,,0.878512978553772,,,,,
0,499,,,,,,,,,1.0387113094329834,,,,,
0,549,,,,,,,,,0.906682014465332,,,,,
0,599,,,,,,,,,0.6358240246772766,,,,,
0,649,,,,,,,,,0.8650335073471069,,,,,
0,699,,,,,,,,,1.0275694131851196,,,,,
0,749,,,,,,,,,0.7623753547668457,,,,,
0,799,,,,,,,,,0.8962385654449463,,,,,
0,849,,,,,,,,,0.7144209146499634,,,,,
0,899,,,,,,,,,1.212167739868164,,,,,
0,949,,,,,,,,,0.6942850351333618,,,,,
0,999,,,,,,,,,1.1095988750457764,,,,,
0,1049,,,,,,,,,0.6484607458114624,,,,,
0,1099,,,,,,,,,1.4271879196166992,,,,,
0,1147,,,,,,,,,,,0.7254589200019836,0.9490693211555481,0.45067834854125977,0.5691922903060913
0,1147,,,,,,0.7512015104293823,0.9368019104003906,1.0086750984191895,,0.6015393733978271,,,,
1,1149,,,,,,,,,2.05471134185791,,,,,
1,1199,,,,,,,,,0.8102742433547974,,,,,
1,1249,,,,,,,,,1.4531960487365723,,,,,
1,1299,,,,,,,,,0.7996276617050171,,,,,
1,1349,,,,,,,,,0.84040367603302,,,,,
1,1399,,,,,,,,,0.90873122215271,,,,,
1,1449,,,,,,,,,0.6788660883903503,,,,,
1,1499,,,,,,,,,0.6644147634506226,,,,,
1,1549,,,,,,,,,0.7724121809005737,,,,,
1,1599,,,,,,,,,0.878385066986084,,,,,
1,1649,,,,,,,,,0.8474307656288147,,,,,
1,1699,,,,,,,,,0.9989739060401917,,,,,
1,1749,,,,,,,,,0.6859859228134155,,,,,
1,1799,,,,,,,,,0.9283697605133057,,,,,
1,1849,,,,,,,,,0.829780101776123,,,,,
1,1899,,,,,,,,,0.6277232766151428,,,,,
1,1949,,,,,,,,,1.1502262353897095,,,,,
1,1999,,,,,,,,,0.5600084066390991,,,,,
1,2049,,,,,,,,,0.6024573445320129,,,,,
1,2099,,,,,,,,,1.2785735130310059,,,,,
1,2149,,,,,,,,,1.051774024963379,,,,,
1,2199,,,,,,,,,0.9920370578765869,,,,,
1,2249,,,,,,,,,0.6895264387130737,,,,,
1,2295,,,,,,,,,,,0.7307272553443909,0.9592078328132629,0.43123117089271545,0.5757054090499878
1,2295,,,,,,0.7993387579917908,0.9480387568473816,0.8882030248641968,,0.6657487750053406,,,,
2,2299,,,,,,,,,1.227079153060913,,,,,
2,2349,,,,,,,,,0.6670351028442383,,,,,
2,2399,,,,,,,,,0.8635818958282471,,,,,
2,2449,,,,,,,,,1.1711136102676392,,,,,
2,2499,,,,,,,,,0.5755150318145752,,,,,
2,2549,,,,,,,,,1.1716620922088623,,,,,
2,2599,,,,,,,,,0.7167564034461975,,,,,
2,2649,,,,,,,,,0.7938463687896729,,,,,
2,2699,,,,,,,,,0.9653246998786926,,,,,
2,2749,,,,,,,,,1.5185399055480957,,,,,
2,2799,,,,,,,,,0.9824943542480469,,,,,
2,2849,,,,,,,,,0.7755005359649658,,,,,
2,2899,,,,,,,,,1.057680606842041,,,,,
2,2949,,,,,,,,,0.5927199125289917,,,,,
2,2999,,,,,,,,,0.6827818155288696,,,,,
2,3049,,,,,,,,,0.7651894092559814,,,,,
2,3099,,,,,,,,,0.9017105102539062,,,,,
2,3149,,,,,,,,,0.8656973242759705,,,,,
2,3199,,,,,,,,,0.7140247821807861,,,,,
2,3249,,,,,,,,,0.820236086845398,,,,,
2,3299,,,,,,,,,1.1495635509490967,,,,,
2,3349,,,,,,,,,1.6643773317337036,,,,,
2,3399,,,,,,,,,0.9731338024139404,,,,,
2,3443,,,,,,,,,,,0.7374286651611328,0.9599251747131348,0.4267705976963043,0.5840689539909363
2,3443,,,,,,0.8084756135940552,0.9503900408744812,0.8604153990745544,,0.6785221099853516,,,,
3,3449,,,,,,,,,0.7113840579986572,,,,,
3,3499,,,,,,,,,0.7537293434143066,,,,,
3,3549,,,,,,,,,0.8719305992126465,,,,,
3,3599,,,,,,,,,0.8735533952713013,,,,,
3,3649,,,,,,,,,0.6149702072143555,,,,,
3,3699,,,,,,,,,0.5470869541168213,,,,,
3,3749,,,,,,,,,0.6451705694198608,,,,,
3,3799,,,,,,,,,0.7830326557159424,,,,,
3,3849,,,,,,,,,0.8303296566009521,,,,,
3,3899,,,,,,,,,0.5975570678710938,,,,,
3,3949,,,,,,,,,0.6908577680587769,,,,,
3,3999,,,,,,,,,0.7844920754432678,,,,,
3,4049,,,,,,,,,0.6385104656219482,,,,,
3,4099,,,,,,,,,0.7571258544921875,,,,,
3,4149,,,,,,,,,0.6638500690460205,,,,,
3,4199,,,,,,,,,1.0788726806640625,,,,,
3,4249,,,,,,,,,1.032745599746704,,,,,
3,4299,,,,,,,,,1.1881581544876099,,,,,
3,4349,,,,,,,,,1.1023187637329102,,,,,
3,4399,,,,,,,,,0.6886340379714966,,,,,
3,4449,,,,,,,,,0.7403628826141357,,,,,
3,4499,,,,,,,,,0.7287513017654419,,,,,
3,4549,,,,,,,,,0.8585315942764282,,,,,
3,4591,,,,,,,,,,,0.7492662668228149,0.9605984091758728,0.4139596223831177,0.5990613698959351
3,4591,,,,,,0.8200294971466064,0.9531798362731934,0.8341306447982788,,0.6949576139450073,,,,
4,4599,,,,,,,,,0.8192457556724548,,,,,
4,4649,,,,,,,,,0.6951237916946411,,,,,
4,4699,,,,,,,,,0.7835916876792908,,,,,
4,4749,,,,,,,,,0.8492847681045532,,,,,
4,4799,,,,,,,,,1.3953585624694824,,,,,
4,4849,,,,,,,,,1.1399345397949219,,,,,
4,4899,,,,,,,,,0.52387535572052,,,,,
4,4949,,,,,,,,,0.7584902048110962,,,,,
4,4999,,,,,,,,,0.6712563037872314,,,,,
4,5049,,,,,,,,,0.9965578317642212,,,,,
4,5099,,,,,,,,,0.7508478164672852,,,,,
4,5149,,,,,,,,,0.6711603403091431,,,,,
4,5199,,,,,,,,,0.8849496841430664,,,,,
4,5249,,,,,,,,,0.600379228591919,,,,,
4,5299,,,,,,,,,1.8928905725479126,,,,,
4,5349,,,,,,,,,0.827759325504303,,,,,
4,5399,,,,,,,,,0.688033938407898,,,,,
4,5449,,,,,,,,,0.5866777896881104,,,,,
4,5499,,,,,,,,,1.056349515914917,,,,,
4,5549,,,,,,,,,0.8049752712249756,,,,,
4,5599,,,,,,,,,0.9855080842971802,,,,,
4,5649,,,,,,,,,1.222527265548706,,,,,
4,5699,,,,,,,,,0.9470563530921936,,,,,
4,5739,,,,,,,,,,,0.7624257206916809,0.9597106575965881,0.4071281850337982,0.6160646677017212
4,5739,,,,,,0.8240609169006348,0.9537532329559326,0.8216604590415955,,0.7007683515548706,,,,
5,5749,,,,,,,,,0.7138800024986267,,,,,
